Alsace,42,Strasbourg
Aquitaine,72,Bordeaux
Auvergne,83,Clermont-Ferrand
Basse-Normandie,25,Caen
Bourgogne,26,Dijon
Bretagne,53,Rennes
Centre,24,Orléans
Champagne-Ardenne,21,Châlons-en-Champagne
Corse,94,Ajaccio
Franche-Comté,43,Besançon
Guadeloupe,01,Basse-Terre
Guyane,03,Cayenne
Haute-Normandie,23,Rouen
Île-de-France,11,Paris
La Réunion,04,Saint-Denis
Languedoc-Roussillon,91,Montpellier
Limousin,74,Limoges
Lorraine,41,Metz
Martinique,02,Fort-de-France
Mayotte,06,Dzaoudzi
Midi-Pyrénées,73,Toulouse
Nord-Pas-de-Calais,31,Lille
Pays de la Loire,52,Nantes
Picardie,22,Amiens
Poitou-Charentes,54,Poitiers
Provence-Alpes-Côte d'Azur,93,Marseille
Rhône-Alpes,82,Lyon
